Rank,Title,Link,Image,Tags,Volume,Liquidity
1,Russia x Ukraine ceasefire in 2025?,https://polymarket.com/event/russia-x-ukraine-ceasefire-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/russia-x-ukraine-ceasefire-in-2025-w2voYOygx80B.jpg,"Politics, Geopolitics, 2025 Predictions, Ukraine, Foreign Policy, World, Trump-Putin, Trump-Zelenskyy",26737229.43406,759219.2305
2,Will Saudi Aramco be the largest company in the world by market cap on December 31?,https://polymarket.com/event/will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31-AA8iIrhmibvi.jpg,"AI, 2025 Predictions, Business, Economy, DeepSeek, Big Tech, Best of 2025",16427841.343505,138958.93783
3,Will Captain America: Brave New World be the top grossing movie of 2025?,https://polymarket.com/event/will-captain-america-new-world-order-be-the-top-grossing-movie-of-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-captain-america-new-world-order-be-the-top-grossing-movie-of-2025-NF0uLl7eKtS4.jpg,"box office, Movies, Culture, hollywood, 2025 Predictions, Best of 2025",12156089.896508,586850.01436
4,Will The Fantastic Four: First Steps be the top grossing movie of 2025?,https://polymarket.com/event/will-the-fantastic-four-first-steps-be-the-top-grossing-movie-of-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-fantastic-four-first-steps-be-the-top-grossing-movie-of-2025-P5VGK-nhSN0e.jpg,"box office, Movies, Culture, hollywood, 2025 Predictions, Best of 2025",11759528.833887,508053.01397
5,US recession in 2025?,https://polymarket.com/event/us-recession-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/us-recession-in-2025-01ZjnLjvO4a3.jpg,"Business, Economy, 2025 Predictions, xtrd-1, Economic Policy",10089997.16015,71508.41359
6,"Will Bitcoin reach $150,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-reach-150000-by-december-31-2025-188,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",8978717.005242,246270.827
7,Khamenei out as Supreme Leader of Iran in 2025?,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/khamenei-out-as-supreme-leader-of-iran-in-2025-VNDMf5RqFLwB.jpg,"Politics, Middle East, Geopolitics, 2025 Predictions, Israel, World, Iran, Khamenei",8960561.891996,342590.2128
8,"Will Bitcoin reach $200,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-reach-200000-by-december-31-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",8510346.117564,213897.93512
9,"Will Ethereum hit $5,000 by December 31?",https://polymarket.com/event/will-ethereum-hit-5000-by-december-31-796-376,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,"Ethereum, Crypto, Crypto Prices, Hit Price, Yearly",8263896.905323,122283.06502
10,Maduro out in 2025?,https://polymarket.com/event/maduro-out-in-2025-411,https://polymarket-upload.s3.us-east-2.amazonaws.com/maduro-out-in-2024-IioUZQNiyLYz.jpg,"Politics, Venezuela, 2025 Predictions, World",8220232.280253,178101.7658
11,Will Jurassic World: Rebirth be the top grossing movie of 2025?,https://polymarket.com/event/will-jurassic-world-rebirth-be-the-top-grossing-movie-of-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-jurassic-world-rebirth-be-the-top-grossing-movie-of-2025-v8aMOYJTkW6O.jpg,"box office, Movies, Culture, hollywood, 2025 Predictions, Best of 2025",7175413.374774,500120.55715
12,"Will Bitcoin reach $130,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-reach-130000-by-december-31-2025-911-832,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",6050852.191516,179322.5993
13,"Will Ethereum hit $6,000 by December 31?",https://polymarket.com/event/will-ethereum-hit-6000-by-december-31-843-315,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,"Ethereum, Crypto, Crypto Prices, Hit Price, Yearly",5704163.971172,137271.7305
14,Will Superman be the top grossing movie of 2025?,https://polymarket.com/event/will-superman-be-the-top-grossing-movie-of-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-superman-be-the-top-grossing-movie-of-2025-qkNME3gIAh2Z.jpg,"box office, Movies, Culture, hollywood, 2025 Predictions, Best of 2025",5106555.095642,518446.2883
15,Will the US confirm that aliens exist in 2025?,https://polymarket.com/event/will-the-us-confirm-that-aliens-exist-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/alien+head.jpeg,"Science, Culture, aliens, Politics, 2025 Predictions, U.S. Politics, Declassification",4927438.980783,120400.05972
16,"Will Bitcoin reach $250,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-reach-250000-by-december-31-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",4728387.859898,165957.55055
17,US national Bitcoin reserve in 2025?,https://polymarket.com/event/us-national-bitcoin-reserve-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/us-national-bitcoin-reserve-in-2025-zDcUaQ5HLS7F.jpg,"2025 Predictions, Politics, Crypto, Finance, Bitcoin, Crypto Summit, Crypto Policy, Economic Policy, U.S. Politics, Featured",4720398.439955,34668.57649
18,"Will Bitcoin reach $1,000,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-reach-1000000-by-december-31-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",4586003.513866,231555.37842
19,"Will Ethereum hit $10,000 by December 31?",https://polymarket.com/event/will-ethereum-hit-10000-by-december-31-218-525,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,"Ethereum, Crypto, Crypto Prices, Hit Price, Yearly",4328061.205592,118654.97568
20,"Will Ethereum hit $7,000 by December 31?",https://polymarket.com/event/will-ethereum-hit-7000-by-december-31-733-852,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,"Ethereum, Crypto, Crypto Prices, Hit Price, Yearly",4320921.013686,226801.59647
21,"Will Bitcoin dip to $70,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-dip-to-70000-by-december-31-2025-193-726-878-775-359-968-264-727,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",3395834.5455,103233.3373
22,"Will Ethereum hit $8,000 by December 31?",https://polymarket.com/event/will-ethereum-hit-8000-by-december-31-124-489,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,"Ethereum, Crypto, Crypto Prices, Hit Price, Yearly",3010579.784995,108054.21511
23,Will 7 Fed rate cuts happen in 2025?,https://polymarket.com/event/will-7-fed-rate-cuts-happen-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-fed-rate-cuts-in-2025-9qstZkSL1dn0.jpg,"Business, Fed Rates, 2025 Predictions, Economic Policy, Fed, Jerome Powell, Economy",2924284.49664,274853.80632
24,Will 2 Fed rate cuts happen in 2025?,https://polymarket.com/event/will-2-fed-rate-cuts-happen-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-fed-rate-cuts-in-2025-9qstZkSL1dn0.jpg,"Business, Fed Rates, 2025 Predictions, Economic Policy, Fed, Jerome Powell, Economy",2775764.335189,41447.0681
25,Will 3 Fed rate cuts happen in 2025?,https://polymarket.com/event/will-3-fed-rate-cuts-happen-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-fed-rate-cuts-in-2025-9qstZkSL1dn0.jpg,"Business, Fed Rates, 2025 Predictions, Economic Policy, Fed, Jerome Powell, Economy",2768823.32531,31501.4677
26,Will 4 Fed rate cuts happen in 2025?,https://polymarket.com/event/will-4-fed-rate-cuts-happen-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-fed-rate-cuts-in-2025-9qstZkSL1dn0.jpg,"Business, Fed Rates, 2025 Predictions, Economic Policy, Fed, Jerome Powell, Economy",2724561.578274,105952.38399
27,Will Amazon be the largest company in the world by market cap on December 31?,https://polymarket.com/event/will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-december-31-BqBnLaLkz49q.jpg,"AI, 2025 Predictions, Business, Economy, DeepSeek, Big Tech, Best of 2025",2510710.013862,235171.47804
28,"Will Bitcoin dip to $50,000 by December 31, 2025?",https://polymarket.com/event/will-bitcoin-dip-to-50000-by-december-31-2025-391-715-682-587-692-994-786-318,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,"Bitcoin, Crypto, Crypto Prices, Hit Price, Yearly",2474270.329644,68756.79975
